"CODE","DESCRIPTION_DE","DESCRIPTION_PL","NAME_DE","NAME_PL"
"code","description","PL description","name","PL name"
"PL1070","","PL ","Ulotka Pure Egg Membrane (5 szt.)","PL Ulotka Pure Egg Membrane (5 szt.)"
"0407","","PL ","Łatwy start krok 3","PL Łatwy start krok 3"
"7152","","PL ","Szampon do włosów + odżywka do włosów Argan Queen + Hydroclinic płyn micelarny","PL Szampon do włosów + odżywka do włosów Argan Queen + Hydroclinic płyn micelarny"
"PL908","","PL ","Szkolenie Wrocław","PL Szkolenie Wrocław"
"7149","","PL ","Patera z pokrywą + Podstawka pod łyżkę","PL Patera z pokrywą + Podstawka pod łyżkę"
"ML107","","PL ","Woda perfumowana Caramella","PL Woda perfumowana Caramella"
"PL1053","","PL ","Akcja z bonusem – Lipiec 2022 (10 szt.)","PL Akcja z bonusem – Lipiec 2022 (10 szt.)"
"2062","","PL ","Letni płyn do spryskiwaczy w tabletkach","PL Letni płyn do spryskiwaczy w tabletkach"
"0622PL","","PL ","Katalog Betterstyle Czerwiec 2022 1 sztuka","PL Katalog Betterstyle Czerwiec 2022 1 sztuka"
"CZ657","","PL ","Katalog Czeski Czerwiec 2022 (10 szt.)","PL Katalog Czeski Czerwiec 2022 (10 szt.)"
"PL1034","","PL ","Katalog Betterstyle (10 szt.) Czerwiec 2022","PL Katalog Betterstyle (10 szt.) Czerwiec 2022"
"PL1035","","PL ","Katalog Betterstyle (20 szt.) Czerwiec 2022","PL Katalog Betterstyle (20 szt.) Czerwiec 2022"
"PL1037","","PL ","Katalog Betterstyle (120 szt.) Czerwiec 2022","PL Katalog Betterstyle (120 szt.) Czerwiec 2022"
"PL1038","","PL ","Cennik Betterstyle Czerwiec 2022","PL Cennik Betterstyle Czerwiec 2022"
"0722PL","","PL ","Katalog Betterstyle Lipiec 2022 1 sztuka","PL Katalog Betterstyle Lipiec 2022 1 sztuka"
"PL1041","","PL ","Katalog Betterstyle (10 szt.) Lipiec 2022","PL Katalog Betterstyle (10 szt.) Lipiec 2022"
"PL1042","","PL ","Katalog Betterstyle (20 szt.) Lipiec 2022","PL Katalog Betterstyle (20 szt.) Lipiec 2022"
"PL1043","","PL ","Katalog Betterstyle (40 szt.) Lipiec 2022","PL Katalog Betterstyle (40 szt.) Lipiec 2022"
"PL1044","","PL ","Katalog Betterstyle (120 szt.) Lipiec 2022","PL Katalog Betterstyle (120 szt.) Lipiec 2022"
"PL1036","","PL ","Katalog Betterstyle (40 szt.) Czerwiec 2022","PL Katalog Betterstyle (40 szt.) Czerwiec 2022"
"0622CZ","","PL ","Katalog Czeski Czerwiec 2022 (1 szt.)","PL Katalog Czeski Czerwiec 2022 (1 szt.)"
