"code","name","descritpion"
"7175","Akcja rekrutacyjna",""
"PL1079","Listopadowa ulotka rekrutacyjna 2022 (10 szt.)",""
"PL1066","Katalog Betterstyle (20 szt.) Listopad 2022","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL1067","Katalog Betterstyle (40 szt.) Listopad 2022","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL1068","Katalog Betterstyle (120 szt.) Listopad 2022","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL1069","Cennik Betterstyle Listopad 2022","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL1074","Katalog Betterstyle (20 szt.) Grudzień 2022","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL1075","Katalog Betterstyle (40 szt.) Grudzień 2022","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL1077","Cennik Betterstyle Grudzień 2022","zaimportowany z excela 2022-10-13 13:28:06:241"
"1122CZ","Katalog Czeski Listopad 2022 (1 szt.)","zaimportowany z excela 2022-10-13 13:28:06:241"
"CZ672","Czeski Katalog Listopad 2022 (10 szt.)","zaimportowany z excela 2022-10-13 13:28:06:241"
"1222CZ","Katalog Czeski Grudzień 2022 (1 szt.)","zaimportowany z excela 2022-10-13 13:28:06:241"
"CZ675","Czeski Katalog Prosinec - Grudzień 2022 (10 szt.)","zaimportowany z excela 2022-10-13 13:28:06:241"
"0003","Łatwy start krok 1","zaimportowany z excela 2022-10-13 13:28:06:241"
"0213","Łatwy start krok 2","zaimportowany z excela 2022-10-13 13:28:06:241"
"0409","Łatwy start krok 3","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML108","Woda perfumowana La Rosita","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML016","Próbka perfum Fever 1ml","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML020","Torebka papierowa ECO Blue Nature","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML025","Reklamówki dla klientów (10 szt.)","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML026","Reklamówki do startera (1 szt.)","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML027","Próbka kremu do twarzy na dzień i na noc Hydroclinic, 2 ml – 1 szt.","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML028","Próbka kremu do twarzy na dzień i na noc HYDROCLINIC, 2 ml – pakiet 5 szt","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML029","Piórnik na próbki zapachów","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML030","Miniaturka męskiej wody perfumowanej Spartan","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML031","Miniaturka wody perfumowanej Caramella","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML032","Miniaturka wody perfumowanej La Rosita","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL905","KONFERENCJA VIP 2022","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL081","Twoje pierwsze 90 dni","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL090K","Pakiet Biznesowy","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL5066","Ulotka Hair&Nails Complex (5 szt.)","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL5037","Ulotka Fat Burn Piperine (5 szt.)","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL5039","Ulotka Vitamin C Natural (5 szt.)","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL5042","Ulotka Antioxidants Green Tea (5 szt.)","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL5038","Ulotka Immunity Garlic Power (5 szt.)","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL5024","Ulotka Fish Collagen Joints & Skin (5 szt.)","zaimportowany z excela 2022-10-13 13:28:06:241"
"PL5053","Ulotka D3 2000 ADE+K (5 szt.)","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML078","Koszulka polo męska z logo BetterStyle (M)","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML080","Koszulka polo męska z logo BetterStyle (XL)","zaimportowany z excela 2022-10-13 13:28:06:241"
"ML081","Koszulka polo męska z logo BetterStyle (XXL)","zaimportowany z excela 2022-10-13 13:28:06:241"
"4217","Podkładka do pieczenia","zaimportowany z excela 2022-10-13 13:28:06:241"
"9145","Foremki ze stempelkami","zaimportowany z excela 2022-10-13 13:28:06:241"
"9123","Świąteczna mata-dywanik","zaimportowany z excela 2022-10-13 13:28:06:241"
"8015","Pochłaniacz wilgoci","zaimportowany z excela 2022-10-13 13:28:06:241"
"9128","Poszewka na poduszkę Krasnal","zaimportowany z excela 2022-10-13 13:28:06:241"
"9129","Poszewka na poduszkę Merry Christmas","zaimportowany z excela 2022-10-13 13:28:06:241"
"9144","Podkładki pod talerze Krasnal","zaimportowany z excela 2022-10-13 13:28:06:241"
"9137","Ozdobna podkładka pod talerz","zaimportowany z excela 2022-10-13 13:28:06:241"
"9932","Dekoracja na butelkę","zaimportowany z excela 2022-10-13 13:28:06:241"
"9088","Ozdobne składane choinki srebrne","zaimportowany z excela 2022-10-13 13:28:06:241"
"8354","Zestaw 6 wosków do kominka kwiat wiśni","zaimportowany z excela 2022-10-13 13:28:06:241"
"8400","Zestaw 6 wosków do kominka jabłko-cynamon","zaimportowany z excela 2022-10-13 13:28:06:241"
"9934","Magnesy na lodówkę „Choinki i sanie”","zaimportowany z excela 2022-10-13 13:28:06:241"
"9035","Przezroczyste okrągłe plasterki na paczki 100 naklejek","zaimportowany z excela 2022-10-13 13:28:06:241"
"9131","Lista zakupów Bałwanek","zaimportowany z excela 2022-10-13 13:28:06:241"
"9146","Zestaw naklejek na prezenty","zaimportowany z excela 2022-10-13 13:28:06:241"
"9127","Świecący pierścionek - Mikołaj","zaimportowany z excela 2022-10-13 13:28:06:241"
"9138","Opaska na głowę","zaimportowany z excela 2022-10-13 13:28:06:241"
"9126","Czerwona forma Silikonowa - 120 gram","zaimportowany z excela 2022-10-13 13:28:06:241"
"9141","Rękawiczka i podkładka","zaimportowany z excela 2022-10-13 13:28:06:241"
"4713","Forma silikonowa COOKIE","zaimportowany z excela 2022-10-13 13:28:06:241"
"9124","Silikonowa forma Choinka","zaimportowany z excela 2022-10-13 13:28:06:241"
"4260","Silikonowy dzbanuszek do roztapiania czekolady","zaimportowany z excela 2022-10-13 13:28:06:241"
"4550","Trójboczna forma do pieczenia","zaimportowany z excela 2022-10-13 13:28:06:241"
"4547","Szpatułka do ciasta","zaimportowany z excela 2022-10-13 13:28:06:241"
"4490","Separator do jajek","zaimportowany z excela 2022-10-13 13:28:06:241"
"4742","Dzbanek z miarką 1 litr","zaimportowany z excela 2022-10-13 13:28:06:241"
"4741","Dzbanek z miarką 250 ml","zaimportowany z excela 2022-10-13 13:28:06:241"
"4324","Foremka do ciasetczek płatki sniegu","zaimportowany z excela 2022-10-13 13:28:06:241"
"4323","Foremka do ciasteczek Choinka","zaimportowany z excela 2022-10-13 13:28:06:241"
"4759","Silikonowa mata do ciasta ","zaimportowany z excela 2022-10-13 13:28:06:241"
"3009","Duży silikonowy wałek do ciasta","zaimportowany z excela 2022-10-13 13:28:06:241"
"4750","Forma silikonowa na babeczki","zaimportowany z excela 2022-10-13 13:28:06:241"
"4551","Okrągła forma do pieczenia","zaimportowany z excela 2022-10-13 13:28:06:241"
"4133","Lejek - dozownik do ciasta","zaimportowany z excela 2022-10-13 13:28:06:241"
"368631","Ochronna pokrywka do miksera","zaimportowany z excela 2022-10-13 13:28:06:241"
"4753","Trzepaczka rotacyjna","zaimportowany z excela 2022-10-13 13:28:06:241"
"4083","Obrotowa patera na ciasto","zaimportowany z excela 2022-10-13 13:28:06:241"
"4118","Szprycka do dekoracji ciast","zaimportowany z excela 2022-10-13 13:28:06:241"
"4264","Silikonowy rękaw cukierniczy","zaimportowany z excela 2022-10-13 13:28:06:241"
"4268","Zestaw szpatułek","zaimportowany z excela 2022-10-13 13:28:06:241"
"4785","Nóż cukierniczy","zaimportowany z excela 2022-10-13 13:28:06:241"
"4575","Radełko","zaimportowany z excela 2022-10-13 13:28:06:241"
"4487","Nóż strunowy do ciasta","zaimportowany z excela 2022-10-13 13:28:06:241"
"4769","Szpatułka wielofunkcyjna","zaimportowany z excela 2022-10-13 13:28:06:241"
"4062","Wykrawacz do donatów","zaimportowany z excela 2022-10-13 13:28:06:241"
"4381","Szczypce z sitkiem do odsączania","zaimportowany z excela 2022-10-13 13:28:06:241"
"4779","Długa łopatka teflonowa ","zaimportowany z excela 2022-10-13 13:28:06:241"
"4320","Silikonowy pędzelek z pojemnikiem","zaimportowany z excela 2022-10-13 13:28:06:241"
"4111","Okrągła pokrywka ochronna","zaimportowany z excela 2022-10-13 13:28:06:241"
"4477","Nóż do twardego masła","zaimportowany z excela 2022-10-13 13:28:06:241"
"368503","Profesjonalny nóż do ananasa","zaimportowany z excela 2022-10-13 13:28:06:241"
"4763","Deska do krojenia z ociekaczem","zaimportowany z excela 2022-10-13 13:28:06:241"
"8572","Uchwyt na torebkę foliową","zaimportowany z excela 2022-10-13 13:28:06:241"
"368514","Nożyk do chipsów","zaimportowany z excela 2022-10-13 13:28:06:241"
"4774","Dozownik w sprayu do oliwy lub octu ","zaimportowany z excela 2022-10-13 13:28:06:241"
"4747","Szklany pojemnik na przyprawy","zaimportowany z excela 2022-10-13 13:28:06:241"
"4748","Szklany młynek","zaimportowany z excela 2022-10-13 13:28:06:241"
"4770","Lejek z rączką","zaimportowany z excela 2022-10-13 13:28:06:241"
"4655","Miska z cedzakiem","zaimportowany z excela 2022-10-13 13:28:06:241"
"367795","Półmisek do rozmrażania","zaimportowany z excela 2022-10-13 13:28:06:241"
"4768","Zestaw podstawek pod łyżki","zaimportowany z excela 2022-10-13 13:28:06:241"
"368500","Łyżka cedzakowa","zaimportowany z excela 2022-10-13 13:28:06:241"
"368057","Cedzak nakładany na garnek","zaimportowany z excela 2022-10-13 13:28:06:241"
"4776","Zestaw 4 pojemników ","zaimportowany z excela 2022-10-13 13:28:06:241"
"4321","Silikonowe osłonki na naczynia","zaimportowany z excela 2022-10-13 13:28:06:241"
"4467","Pojemnik na cytrynę","zaimportowany z excela 2022-10-13 13:28:06:241"
"4760","Pojemnik z widelcem ","zaimportowany z excela 2022-10-13 13:28:06:241"
"4393","Pojemnik do przechowywania cebula","zaimportowany z excela 2022-10-13 13:28:06:241"
"4391","Pojemnik do przechowywania pomidor","zaimportowany z excela 2022-10-13 13:28:06:241"
"4761","Łyżeczka-samolot","zaimportowany z excela 2022-10-13 13:28:06:241"
"4553","Pojemniki do przechowywania żywności Świnka","zaimportowany z excela 2022-10-13 13:28:06:241"
"4554","Pojemniki do przechowywania żywności Krówka","zaimportowany z excela 2022-10-13 13:28:06:241"
"4762","Pojemnik na przekąski z miejscem na dip","zaimportowany z excela 2022-10-13 13:28:06:241"
"4429","Pojemniki „Makaronik” duży","zaimportowany z excela 2022-10-13 13:28:06:241"
"4430","Pojemnik „Makaronik” średni","zaimportowany z excela 2022-10-13 13:28:06:241"
"4428","Pojemnik „Makaronik” mały","zaimportowany z excela 2022-10-13 13:28:06:241"
"4578","Karafka „Marmurek” 1litr","zaimportowany z excela 2022-10-13 13:28:06:241"
"4579","Szklany pojemnik „Marmurek” 425ml","zaimportowany z excela 2022-10-13 13:28:06:241"
"4580","Szklany pojemnik „Marmurek” 660ml","zaimportowany z excela 2022-10-13 13:28:06:241"
"4581","Szklany pojemnik „Marmurek” 1000ml","zaimportowany z excela 2022-10-13 13:28:06:241"
"4597","Szklany dozownik Marmurek","zaimportowany z excela 2022-10-13 13:28:06:241"
"4596","Termos Marmurek","zaimportowany z excela 2022-10-13 13:28:06:241"
"4766","Zaparzaczka „Serce”","zaimportowany z excela 2022-10-13 13:28:06:241"
"4754","Łyżka-miarka z klipsem","zaimportowany z excela 2022-10-13 13:28:06:241"
"42791","Grzybek do otwierania słoików","zaimportowany z excela 2022-10-13 13:28:06:241"
"4771","Zatyczka do wina Serce ","zaimportowany z excela 2022-10-13 13:28:06:241"
"4772","Zatyczka – dozownik do butelek ","zaimportowany z excela 2022-10-13 13:28:06:241"
"4737","Wielofunkcyjny otwieracz","zaimportowany z excela 2022-10-13 13:28:06:241"
"8566","Klips do stołu na szklanki","zaimportowany z excela 2022-10-13 13:28:06:241"
"58461","Aktywna piana do czyszczenia lodówek","zaimportowany z excela 2022-10-13 13:28:06:241"
"8473","Żelowy pochłaniacz zapachów do lodówki","zaimportowany z excela 2022-10-13 13:28:06:241"
"81751","Antypleśniowa mata do lodówki","zaimportowany z excela 2022-10-13 13:28:06:241"
"4778","Foremka na kostki lodu","zaimportowany z excela 2022-10-13 13:28:06:241"
"4348","Rozsuwana półeczka do lodówki","zaimportowany z excela 2022-10-13 13:28:06:241"
"4780","Silikonowe zaciski do torebek","zaimportowany z excela 2022-10-13 13:28:06:241"
"8351","Organizer z przegródkami szary","zaimportowany z excela 2022-10-13 13:28:06:241"
"8352","Organizer z przegródkami beżowy","zaimportowany z excela 2022-10-13 13:28:06:241"
"4775","Zestaw 4 torebek strunowych","zaimportowany z excela 2022-10-13 13:28:06:241"
"4744","Klips M","zaimportowany z excela 2022-10-13 13:28:06:241"
"4745","Klips L","zaimportowany z excela 2022-10-13 13:28:06:241"
"4645","Woreczek do gotowania ziemniaków w mikrofalówce","zaimportowany z excela 2022-10-13 13:28:06:241"
"4479","Kubek z pokrywką do mikrofalówki","zaimportowany z excela 2022-10-13 13:28:06:241"
"4751","Wielofunkcyjna podstawka do mikrofalówki  ","zaimportowany z excela 2022-10-13 13:28:06:241"
"58462","Aktywna piana do czyszczenia mikrofalówek","zaimportowany z excela 2022-10-13 13:28:06:241"
"367815","Płyn do czyszczenia powierzchni kuchennych o zapachu mango","zaimportowany z excela 2022-10-13 13:28:06:241"
"777853","Płyn do powierzchni kuchennych mango + płyn do mikrofalówek","zaimportowany z excela 2022-10-13 13:28:06:241"
"8585","Etui z podajnikiem do worków na śmieci","zaimportowany z excela 2022-10-13 13:28:06:241"
"8523","Klamry do kosza na śmieci","zaimportowany z excela 2022-10-13 13:28:06:241"
"8477","Minizmiotka z szufelką","zaimportowany z excela 2022-10-13 13:28:06:241"
"8584","Wazon samoprzylepny  ","zaimportowany z excela 2022-10-13 13:28:06:241"
"8521","Pułapka na owady Domek","zaimportowany z excela 2022-10-13 13:28:06:241"
"8397","Miniorganizer","zaimportowany z excela 2022-10-13 13:28:06:241"
"4693","Antypoślizgowa mata ochronna do szuflad i półek","zaimportowany z excela 2022-10-13 13:28:06:241"
"4605","Organizer na sztućce","zaimportowany z excela 2022-10-13 13:28:06:241"
"4537","Ochronna podkładka do kuchenki gazowej","zaimportowany z excela 2022-10-13 13:28:06:241"
"4781","Samoprzylepna tapeta aluminiowa","zaimportowany z excela 2022-10-13 13:28:06:241"
"4519","Uchwyt na przybory kuchenne","zaimportowany z excela 2022-10-13 13:28:06:241"
"4607","Ściereczka kuchenna – wzór kwiatowy","zaimportowany z excela 2022-10-13 13:28:06:241"
"2010","Pachnące mydło w płynie Fruit","zaimportowany z excela 2022-10-13 13:28:06:241"
"2009","Pachnące mydło w płynie fresh","zaimportowany z excela 2022-10-13 13:28:06:241"
"2008","Pachnące mydło w płynie flower","zaimportowany z excela 2022-10-13 13:28:06:241"
