"ADDITIONAL_FILES";"CODE";"DESCRIPTION_DE";"IMAGES";"MAIN_IMAGE";"REGION";"SHORT_DESCRIPTION_DE";"SLUG_DE";"TITLE_DE"
"1-add1.pdf";"1";"<h4><big>Informacje</big></h4><p>Zapach dla współczesnego wojownika, który stawia czoła różnym wyzwaniom.<br />Męski i zdecydowany, intryguje oryginalnymi nutami.<br />Rozgrzewający imbir i tajemnicze kadzidło nadają mu moc, a grejpfrut i cytryna orzeźwiają cytrusowym aromatem.<br />Jaśmin i różowy pieprz rozpalają zmysły.</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla mężczyzn</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>";"1-1.jpg,1-2.jpg,1-3.jpg";"1-1.jpg";"germany";"short description";"perfumetka-spartan-10-ml";"Perfumetka Spartan 10 ml"
"1021-add1.pdf";"1021";"<h4><big>Informacje</big></h4><p>Szklana butelka z atomizerem.<strong><br /></strong></p><p>Zapach przeznaczony dla aktywnych, dynamicznych mężczyzn, którzy w tętniących życiem miastach czują się wspaniale.<br />Mieszanka nut zapachowych tworzy zapach sportowy a jednocześnie elegancki.</p><p><strong>Nuta głowy</strong></p><p>grejpfrut, mandarynka, nuty morskie</p><p><strong>Nuta serca</strong></p><p>jaśmin, liść laurowy</p><p><strong>Nuta podstawy</strong></p><p>drzewo gwajakowe, ambra, paczuli, mech dębowy</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla mężczyzn</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>";"1021-1.jpg,1021-2.jpg,1021-3.jpg";"1021-1.jpg";"germany";"short description";"perfumetka-victory-10-ml";"Perfumetka Victory 10 ml"
"1111-add1.pdf";"1111";"<h4><big>Informacje</big></h4><p><strong>Dla Kobiet podążających swoją własną drogą.</strong></p><p>Ten piękny kwiatowy zapach przeznaczony jest dla pewnej siebie kobiety, podążającej swoją własną drogą. Kusi swoją lekkością, świeżością oraz elegancją.</p><p><strong>Nuta głowy</strong></p><p>kaktus</p><p><strong>Nuta serca</strong></p><p>jaśmin, róża, frezja</p><p><strong>Nuta podstawy</strong></p><p>nuty drzew, cedr</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>";"1111-1.jpg,1111-2.jpg,1111-3.jpg";"1111-1.jpg";"germany";"short description";"perfumetka-lato-w-toskanii-10-ml";"Perfumetka Lato w Toskanii 10 ml"
"2013-add1.pdf";"2013";"<h4><big>Informacje</big></h4><p>Upajająca woń kwiatów, wśród których króluje namiętna róża. Idealna kompozycja dla kobiet, które kochają uwodzicielskie zapachy na szlachetnym, wytwornym tle.</p><p></p><p style=""margin-bottom:0cm;line-height:100%;""><strong>Kategoria zapachu</strong></p><p></p><p style=""margin-bottom:0cm;line-height:100%;"">kwiatowa</p><p></p><p><strong>Nuta głowy</strong></p><p>piwonia, frezja, liczi</p><p><strong>Nuta serca</strong></p><p>magnolia, róża, konwalia</p><p><strong>Nuta bazy</strong></p><p>ambra, drewno cedrowe</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>";"2013-1.jpg,2013-2.jpg,2013-3.jpg";"2013-1.jpg";"germany";"short description";"perfumetka-la-rosita-10-ml";"Perfumetka La Rosita 10 ml"
"2015-add1.pdf";"2015";"<h4><big>Informacje</big></h4><p>Grzeszna przyjemność, na którą możesz pozwolić sobie bez poczucia winy. Rozpieszcza zmysły jak pyszny deser z migdałami i kakao, uzależnia jak aromatyczna kawa, dodaje słodyczy jak wanilia.</p><p><strong>Nuta głowy</strong></p><p>migdał, kawa</p><p><strong>Nuta serca</strong></p><p>tuberoza, jaśmin</p><p><strong>Nuta podstawy</strong></p><p>fasolka tonka, kakao, drzewo sandałowe i wanilia</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>";"2015-1.jpg,2015-2.jpg,2015-3.jpg";"2015-1.jpg";"germany";"short description";"perfumetka-caramella-10-ml";"Perfumetka Caramella 10 ml"
"2016-add1.pdf";"2016";"<h4><big>Informacje</big></h4><p><strong><span style=""color:#2445a2;"">Dla Kobiety tajemniczej i intrygującej.</span><br /><br /></strong>Soczyste pomarańcze, jaśmin i ognisty imbir tworzą uwodzicielską kompozycję, rozgrzewającą zmysły jak lato na południu Hiszpanii. Intrygujące połączenie wanilii z solą nadaje całości tajemniczy, kuszący charakter.<strong><br /><br />Nuta głowy<br /></strong>jaśmin, pomarańcza, imbir<strong><br /><br />Nuta serca<br /></strong>wanilia, sól<strong><br /><br />Nuta podstawy<br /></strong>kaszmir, drzewo sandałowe, ambra<strong><br /></strong></p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>Pojemność: 10 ml</p><div class=""page-break""><!-- pagebreak --></div>";"2016-1.jpg,2016-2.jpg,2016-3.jpg";"2016-1.jpg";"germany";"short description";"perfumetka-lato-w-andaluzji-10-ml";"Perfumetka Lato w Andaluzji 10 ml"
"2020-add1.pdf";"2020";"short description";"2020-1.jpg,2020-2.jpg,2020-3.jpg";"2020-1.jpg";"germany";"short description";"łatwy-start-krok-3";"Łatwy start krok 3"
"2023-add1.pdf";"2023";"<h4><big>Informacje</big></h4><p>Dla Kobiet tryskających energią.</p><p>Zapach, który sprawi, że każdego dnia na twarzy kobiety pojawi się uśmiech. Przeznaczona dla pań pozytywnie nastawionych do życia i tryskających energią. Jest symbolem wolności i wiary.</p><p><strong>Nuta głowy</strong></p><p>czarna porzeczka, gruszka</p><p><strong>Nuta serca</strong></p><p>irys, kwiat pomarańczy, jaśmin</p><p><strong>Nuta podstawy</strong></p><p>paczula, wanilia, fasola Tonka</p><div class=""page-break""><!-- pagebreak --></div><h4>Przeznaczenie</h4><p>Dla kobiet</p><div class=""page-break""><!-- pagebreak --></div><h4>Opakowanie</h4><p>10 ml</p><div class=""page-break""><!-- pagebreak --></div>";"2023-1.jpg,2023-2.jpg,2023-3.jpg";"2023-1.jpg";"germany";"short description";"perfumetka-lato-w-prowansji-10-ml";"Perfumetka Lato w Prowansji 10 ml"
"2026-add1.pdf";"2026";"<p>Ekskluzywna, biała torebka papierowa, będąca połaczeniem elegancji i luksusu. Doskonała do pakowania kosmetyków i innych drobnych upominków od Blue Nature.</p>
<ul><li>Materiał: papier laminowany</li>
<li>Wymiary: 24 x 24 cm</li>
<li>Uchwyt: sznurkowy</li>
</ul>";"2026-1.jpg,2026-2.jpg,2026-3.jpg";"2026-1.jpg";"germany";"short description";"torebka-prezentowa-blue-nature-(1-szt.)";"Torebka prezentowa Blue Nature (1 szt.)"
"2027-add1.pdf";"2027";"short description";"2027-1.jpg,2027-2.jpg,2027-3.jpg";"2027-1.jpg";"germany";"short description";"puszka-na-kawę----czarna";"Puszka na kawę  - czarna"
