"CODE";"ADDITIONAL_FILES";"IMAGES";"REGION";"TITLE_DE";"DESCRIPTION_DE";"SLUG_DE";"TITLE_PL";"DESCRIPTION_PL";"SLUG_PL"
"PL1074";"PL1074-add1.pdf";"PL1074-1.jpg,PL1074-2.jpg,PL1074-3.jpg";"germany";"Katalog Betterstyle (20 szt.) Grudzień 2022";"zaimportowany z excela 2022-10-13 13:28:06:241";"katalog-betterstyle-(20-szt.)-grudzień-2022";"PL Katalog Betterstyle (20 szt.) Grudzień 2022";"PL zaimportowany z excela 2022-10-13 13:28:06:241";"katalog-betterstyle-(20-szt.)-grudzień-2022"
"PL1075";"PL1075-add1.pdf";"PL1075-1.jpg,PL1075-2.jpg,PL1075-3.jpg";"germany";"Katalog Betterstyle (40 szt.) Grudzień 2022";"zaimportowany z excela 2022-10-13 13:28:06:241";"katalog-betterstyle-(40-szt.)-grudzień-2022";"PL Katalog Betterstyle (40 szt.) Grudzień 2022";"PL zaimportowany z excela 2022-10-13 13:28:06:241";"katalog-betterstyle-(40-szt.)-grudzień-2022"
"PL1077";"PL1077-add1.pdf";"PL1077-1.jpg,PL1077-2.jpg,PL1077-3.jpg";"germany";"Cennik Betterstyle Grudzień 2022";"zaimportowany z excela 2022-10-13 13:28:06:241";"cennik-betterstyle-grudzień-2022";"PL Cennik Betterstyle Grudzień 2022";"PL zaimportowany z excela 2022-10-13 13:28:06:241";"cennik-betterstyle-grudzień-2022"
"1122CZ";"1122CZ-add1.pdf";"1122CZ-1.jpg,1122CZ-2.jpg,1122CZ-3.jpg";"germany";"Katalog Czeski Listopad 2022 (1 szt.)";"zaimportowany z excela 2022-10-13 13:28:06:241";"katalog-czeski-listopad-2022-(1-szt.)";"PL Katalog Czeski Listopad 2022 (1 szt.)";"PL zaimportowany z excela 2022-10-13 13:28:06:241";"katalog-czeski-listopad-2022-(1-szt.)"
"CZ672";"CZ672-add1.pdf";"CZ672-1.jpg,CZ672-2.jpg,CZ672-3.jpg";"germany";"Czeski Katalog Listopad 2022 (10 szt.)";"zaimportowany z excela 2022-10-13 13:28:06:241";"czeski-katalog-listopad-2022-(10-szt.)";"PL Czeski Katalog Listopad 2022 (10 szt.)";"PL zaimportowany z excela 2022-10-13 13:28:06:241";"czeski-katalog-listopad-2022-(10-szt.)"
"1222CZ";"1222CZ-add1.pdf";"1222CZ-1.jpg,1222CZ-2.jpg,1222CZ-3.jpg";"germany";"Katalog Czeski Grudzień 2022 (1 szt.)";"zaimportowany z excela 2022-10-13 13:28:06:241";"katalog-czeski-grudzień-2022-(1-szt.)";"PL Katalog Czeski Grudzień 2022 (1 szt.)";"PL zaimportowany z excela 2022-10-13 13:28:06:241";"katalog-czeski-grudzień-2022-(1-szt.)"
"CZ675";"CZ675-add1.pdf";"CZ675-1.jpg,CZ675-2.jpg,CZ675-3.jpg";"germany";"Czeski Katalog Prosinec - Grudzień 2022 (10 szt.)";"zaimportowany z excela 2022-10-13 13:28:06:241";"czeski-katalog-prosinec---grudzień-2022-(10-szt.)";"PL Czeski Katalog Prosinec - Grudzień 2022 (10 szt.)";"PL zaimportowany z excela 2022-10-13 13:28:06:241";"czeski-katalog-prosinec---grudzień-2022-(10-szt.)"
3;"0003-add1.pdf";"0003-1.jpg,0003-2.jpg,0003-3.jpg";"germany";"Łatwy start krok 1";"zaimportowany z excela 2022-10-13 13:28:06:241";"łatwy-start-krok-1";"PL Łatwy start krok 1";"PL zaimportowany z excela 2022-10-13 13:28:06:241";"łatwy-start-krok-1"
213;"0213-add1.pdf";"0213-1.jpg,0213-2.jpg,0213-3.jpg";"germany";"Łatwy start krok 2";"zaimportowany z excela 2022-10-13 13:28:06:241";"łatwy-start-krok-2";"PL Łatwy start krok 2";"PL zaimportowany z excela 2022-10-13 13:28:06:241";"łatwy-start-krok-2"
409;"0409-add1.pdf";"0409-1.jpg,0409-2.jpg,0409-3.jpg";"germany";"Łatwy start krok 3";"zaimportowany z excela 2022-10-13 13:28:06:241";"łatwy-start-krok-3";"PL Łatwy start krok 3";"PL zaimportowany z excela 2022-10-13 13:28:06:241";"łatwy-start-krok-3"
"ML108";"ML108-add1.pdf";"ML108-1.jpg,ML108-2.jpg,ML108-3.jpg";"germany";"Woda perfumowana La Rosita";"zaimportowany z excela 2022-10-13 13:28:06:241";"woda-perfumowana-la-rosita";"PL Woda perfumowana La Rosita";"PL zaimportowany z excela 2022-10-13 13:28:06:241";"woda-perfumowana-la-rosita"
"ML016";"ML016-add1.pdf";"ML016-1.jpg,ML016-2.jpg,ML016-3.jpg";"germany";"Próbka perfum Fever 1ml";"zaimportowany z excela 2022-10-13 13:28:06:241";"próbka-perfum-fever-1ml";"PL Próbka perfum Fever 1ml";"PL zaimportowany z excela 2022-10-13 13:28:06:241";"próbka-perfum-fever-1ml"
